Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,48.573334,49.220001,48.086666,49.173332,45.647881,1509300
2017-03-28,49.060001,50.393333,49.060001,50.073334,46.483356,976950
2017-03-29,50.046665,50.099998,49.493332,49.959999,46.378147,892650
2017-03-30,49.833332,50.746666,49.833332,50.726665,47.228489,875400
2017-03-31,50.653332,51.173332,50.453335,50.840000,47.334003,1425000
2017-04-03,50.860001,51.040001,50.046665,50.840000,47.334003,1745250
2017-04-04,50.673332,51.033333,50.433334,50.613335,47.122982,1100100
2017-04-05,51.066666,51.206669,49.606667,49.673332,46.247803,1346550
2017-04-06,49.766666,50.626667,49.246666,50.426666,46.949181,968250
2017-04-07,50.046665,50.826668,49.753334,50.546665,47.060909,1337850
2017-04-10,50.493332,50.813332,49.799999,50.240002,46.775391,800550
2017-04-11,49.866669,50.040001,49.146667,49.833332,46.396770,1234050
2017-04-12,49.799999,49.900002,49.033333,49.173332,45.782280,1187250
2017-04-13,48.840000,49.380001,48.400002,48.413334,45.074692,1458600
2017-04-17,48.580002,49.193333,48.226665,49.146667,45.757442,679350
2017-04-18,48.706669,49.320000,48.119999,48.713333,45.354008,972600
2017-04-19,49.206669,49.513332,48.473331,48.546665,45.198826,2202750
2017-04-20,48.966667,49.526669,48.326668,49.439999,46.030552,2004150
2017-04-21,49.333332,49.660000,48.593334,48.806667,45.440899,1022550
2017-04-24,50.093334,50.306667,49.813332,50.053333,46.601593,1126800
2017-04-25,50.593334,50.666668,50.060001,50.126667,46.669861,841200
2017-04-26,50.146667,50.840000,50.033333,50.493332,47.011253,1084350
2017-04-27,50.540001,51.173332,49.013332,49.933334,46.489872,1932300
2017-04-28,49.900002,50.000000,49.413334,49.680000,46.254005,1403850
2017-05-01,50.000000,50.459999,49.560001,49.966667,46.520908,941850
2017-05-02,50.206669,50.753334,50.133331,50.553333,47.067116,1265400
2017-05-03,50.366669,51.000000,50.226665,50.966667,47.451942,842700
2017-05-04,51.366669,51.593334,50.660000,50.939999,47.427109,930300
2017-05-05,51.160000,51.259998,50.439999,50.666668,47.172630,1009500
2017-05-08,50.673332,50.733334,50.020000,50.419998,46.942982,741750
2017-05-09,50.500000,50.853333,50.220001,50.346668,46.874710,770700
2017-05-10,50.240002,50.386665,49.866669,50.340000,46.868488,612900
2017-05-11,50.133331,50.286667,49.340000,49.966667,46.520908,830700
2017-05-12,49.593334,49.860001,49.273335,49.606667,46.185730,960600
2017-05-15,49.866669,50.553333,49.606667,50.473331,46.992630,1365900
2017-05-16,50.546665,51.206669,50.473331,51.200001,47.669182,868500
2017-05-17,51.200001,51.200001,47.733334,47.853333,44.553307,1968450
2017-05-18,47.820000,48.619999,47.586666,48.133331,44.813992,1708800
2017-05-19,48.306667,49.026669,48.033333,48.673332,45.316761,848100
2017-05-22,49.006668,49.006668,48.286667,48.779999,45.416073,937200
2017-05-23,48.493332,49.006668,47.693333,48.873333,45.502972,1070100
2017-05-24,48.853333,49.033333,48.206669,48.566666,45.217449,844500
2017-05-25,48.900002,49.326668,48.626667,49.093334,45.707790,651450
2017-05-26,48.953335,49.213333,48.753334,49.119999,45.732620,802200
2017-05-30,48.773335,48.966667,48.286667,48.666668,45.310555,626850
2017-05-31,48.700001,48.700001,47.566666,48.180000,44.857449,1421400
2017-06-01,48.560001,49.213333,48.053333,49.206669,45.813316,1323900
2017-06-02,48.779999,49.153332,48.439999,48.886665,45.515381,850350
2017-06-05,49.000000,49.639999,48.926666,49.193333,45.800896,647850
2017-06-06,48.639999,49.273335,48.373333,49.060001,45.676754,1123950
2017-06-07,49.259998,49.573334,48.866669,49.306667,45.906422,853350
2017-06-08,49.306667,51.026669,49.213333,50.720001,47.222282,1618950
2017-06-09,51.206669,52.406666,51.206669,52.193333,48.594013,1149450
2017-06-12,52.253334,52.946667,52.186668,52.486668,48.867119,1405950
2017-06-13,52.726665,53.033333,52.233334,52.606667,48.978840,1066650
2017-06-14,52.080002,52.660000,51.459999,52.626667,48.997471,892350
2017-06-15,52.173332,52.799999,52.139999,52.419998,48.805050,553950
2017-06-16,52.446667,52.646667,52.013332,52.313332,48.705742,1290000
2017-06-19,52.633331,52.926666,52.326668,52.706669,49.071945,1206900
2017-06-20,52.580002,52.580002,52.000000,52.099998,48.507122,788400
2017-06-21,52.113335,52.259998,51.680000,51.786667,48.215397,1182300
2017-06-22,51.546665,51.633331,51.060001,51.459999,47.911259,644550
2017-06-23,51.813332,51.813332,50.946667,51.080002,47.557457,2750250
2017-06-26,51.240002,51.866669,50.933334,51.660000,48.097469,851250
2017-06-27,51.986668,52.880001,51.966667,52.426666,48.811256,990150
2017-06-28,52.913334,53.959999,52.766666,53.806667,50.096088,1576950
